date,player,map,start_side,kills,deaths,assists,mvps,won
2023-09-02,Kiara,Inferno,CT,23,8,2,2,true
2023-09-03,Kiara,Dust2,CT,22,15,4,0,false
2023-09-04,Kiara,Inferno,T,10,12,6,3,true
2023-09-05,Kiara,Nuke,CT,21,7,0,3,false
2023-09-06,Kiara,Mirage,CT,22,6,3,0,false
2023-09-07,Kiara,Dust2,T,10,16,7,2,true
2023-09-08,Kiara,Inferno,CT,26,13,5,0,false
2023-09-09,Kiara,Nuke,CT,12,8,4,2,false
2023-09-10,Kiara,Dust2,CT,26,6,1,1,true
2023-09-11,Kiara,Mirage,CT,23,15,0,0,false
2023-09-12,Kiara,Nuke,CT,15,8,0,1,false
2023-09-13,Kiara,Inferno,T,12,13,3,4,true
2023-09-14,Kiara,Dust2,CT,13,17,5,2,false
2023-09-15,Kiara,Inferno,T,26,15,5,1,true
2023-09-16,Kiara,Mirage,T,21,6,3,4,false
2023-09-17,Kiara,Inferno,CT,21,12,5,0,false
2023-09-18,Kiara,Dust2,T,10,6,1,1,true
2023-09-19,Kiara,Nuke,T,16,16,2,0,false
2023-09-20,Kiara,Mirage,T,25,16,0,1,false
2023-09-21,Kiara,Ancient,T,10,10,5,0,false
