date,player,map,start_side,kills,deaths,assists,mvps,won
2023-09-02,Raphaël,Inferno,T,26,6,6,1,false
2023-09-03,Raphaël,Mirage,CT,27,7,7,2,false
2023-09-04,Raphaël,Dust2,T,21,9,1,0,false
2023-09-05,Raphaël,Dust2,CT,18,10,4,4,false
2023-09-06,Raphaël,Mirage,T,18,13,4,0,true
2023-09-07,Raphaël,Ancient,T,25,17,2,1,true
2023-09-08,Raphaël,Ancient,T,10,15,3,4,false
2023-09-09,Raphaël,Ancient,CT,25,7,4,3,true
2023-09-10,Raphaël,Nuke,CT,22,9,2,0,true
2023-09-11,Raphaël,Dust2,CT,19,10,3,3,true
2023-09-12,Raphaël,Nuke,T,16,15,7,1,true
2023-09-13,Raphaël,Mirage,CT,19,7,1,4,true
2023-09-14,Raphaël,Nuke,T,18,16,3,4,true
2023-09-15,Raphaël,Inferno,CT,22,17,0,1,false
2023-09-16,Raphaël,Mirage,T,18,17,1,3,true
2023-09-17,Raphaël,Inferno,T,15,13,2,0,true
2023-09-18,Raphaël,Dust2,CT,13,8,1,3,true
2023-09-19,Raphaël,Ancient,CT,17,6,6,0,true
2023-09-20,Raphaël,Inferno,T,25,16,0,2,false
2023-09-21,Raphaël,Ancient,CT,12,17,2,0,true
