date,player,map,start_side,kills,deaths,assists,mvps,won
2024-03-08,Raphaël,Anubis,CT,25,8,4,2,true
2024-03-12,Raphaël,Inferno,T,15,12,1,3,true
2024-03-18,Raphaël,Nuke,CT,15,11,5,3,false
2024-03-22,Raphaël,Inferno,CT,25,7,4,1,true
2024-03-27,Raphaël,Anubis,CT,26,12,2,1,false
2024-04-02,Raphaël,Inferno,T,19,8,5,1,false
2024-04-07,Raphaël,Mirage,T,18,13,1,3,false
2024-04-12,Raphaël,Inferno,CT,25,8,4,2,true
2024-04-18,Raphaël,Inferno,T,18,13,3,4,true
2024-04-22,Raphaël,Anubis,T,22,8,5,4,true
2024-04-26,Raphaël,Inferno,T,14,7,2,2,true
2024-05-01,Raphaël,Mirage,T,19,9,2,2,false
2024-05-07,Raphaël,Anubis,CT,18,11,4,1,true
2024-05-11,Raphaël,Inferno,CT,20,8,5,4,false
2024-05-15,Raphaël,Anubis,T,25,13,1,0,false
2024-05-20,Raphaël,Inferno,T,20,9,2,4,true
2024-05-26,Raphaël,Dust2,T,16,9,2,2,false
2024-06-01,Raphaël,Mirage,CT,18,8,2,4,true
2024-06-07,Raphaël,Anubis,CT,26,11,1,4,false
2024-06-13,Raphaël,Inferno,CT,26,9,4,1,true
