date,player,map,start_side,kills,deaths,assists,mvps,won
2023-09-02,Raphaël,Inferno,CT,23,8,2,2,true
2023-09-03,Raphaël,Dust2,CT,22,15,4,0,false
2023-09-04,Raphaël,Inferno,T,10,12,6,3,true
2023-09-05,Raphaël,Nuke,CT,21,7,0,3,false
2023-09-06,Raphaël,Mirage,CT,22,6,3,0,false
2023-09-07,Raphaël,Dust2,T,10,16,7,2,true
2023-09-08,Raphaël,Inferno,CT,26,13,5,0,false
2023-09-09,Raphaël,Nuke,CT,12,8,4,2,false
2023-09-10,Raphaël,Dust2,CT,26,6,1,1,true
2023-09-11,Raphaël,Mirage,CT,23,15,0,0,false
2023-09-12,Raphaël,Nuke,CT,15,8,0,1,false
2023-09-13,Raphaël,Inferno,T,12,13,3,4,true
2023-09-14,Raphaël,Dust2,CT,13,17,5,2,false
2023-09-15,Raphaël,Inferno,T,26,15,5,1,true
2023-09-16,Raphaël,Mirage,T,21,6,3,4,false
2023-09-17,Raphaël,Inferno,CT,21,12,5,0,false
2023-09-18,Raphaël,Dust2,T,10,6,1,1,true
2023-09-19,Raphaël,Nuke,T,16,16,2,0,false
2023-09-20,Raphaël,Mirage,T,25,16,0,1,false
2023-09-21,Raphaël,Ancient,T,10,10,5,0,false
